               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.017409,           0.0064382,                   0,             0.99823,                   1,               0.995,             0.78768,            0.012743,           0.0042372,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.018422,           0.0061474,                   0,             0.99902,                   1,               0.995,             0.87461,            0.012686,           0.0043671,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.017118,           0.0064138,                   0,             0.99892,                   1,               0.995,             0.89125,            0.013613,           0.0044317,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.017796,           0.0062125,                   0,             0.99893,                   1,               0.995,             0.89329,           0.0099212,           0.0041513,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.015878,           0.0059951,                   0,             0.99891,                   1,               0.995,             0.80884,            0.010738,           0.0043406,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.017312,           0.0058659,                   0,               0.999,                   1,               0.995,             0.95298,           0.0073081,           0.0037694,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.015707,           0.0064236,                   0,             0.99896,                   1,               0.995,             0.92777,            0.012546,           0.0045223,                   0,            0.005644,            0.005644,            0.005644
                  46,             0.01673,           0.0065978,                   0,             0.99898,                   1,               0.995,              0.8545,            0.011493,           0.0045038,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.015741,           0.0056377,                   0,             0.99899,                   1,               0.995,              0.7993,            0.011347,           0.0042677,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.016633,           0.0055934,                   0,             0.99903,                   1,               0.995,             0.91771,           0.0075861,           0.0036392,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.014625,           0.0057902,                   0,             0.99899,                   1,               0.995,             0.87459,           0.0089861,           0.0036941,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.015436,           0.0054431,                   0,             0.99899,                   1,               0.995,             0.92319,            0.010127,           0.0039344,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.014892,           0.0057002,                   0,               0.999,                   1,               0.995,             0.92115,            0.012137,           0.0042067,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.015455,           0.0055848,                   0,               0.999,                   1,               0.995,             0.95042,           0.0067932,           0.0035125,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.013688,           0.0058305,                   0,             0.99896,                   1,               0.995,             0.93065,           0.0083687,           0.0036685,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.013866,            0.005305,                   0,             0.99895,                   1,               0.995,             0.85905,            0.010497,           0.0039121,                   0,            0.004753,            0.004753,            0.004753
                  55,              0.0135,           0.0054157,                   0,             0.99895,                   1,               0.995,             0.84504,            0.011113,           0.0041373,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.014959,           0.0050329,                   0,             0.99888,                   1,               0.995,             0.92228,           0.0056986,           0.0034033,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.012462,            0.004546,                   0,             0.99876,                   1,               0.995,             0.94592,           0.0067339,           0.0034505,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.012983,           0.0054406,                   0,             0.99882,                   1,               0.995,              0.9204,           0.0065183,           0.0033337,                   0,            0.004357,            0.004357,            0.004357
                  59,             0.01289,           0.0050319,                   0,             0.99884,                   1,               0.995,             0.94246,           0.0067491,           0.0033423,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.013661,           0.0050673,                   0,             0.99891,                   1,               0.995,              0.9142,           0.0066235,           0.0034299,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.013422,           0.0057282,                   0,             0.99896,                   1,               0.995,             0.90665,           0.0082174,           0.0036516,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.012717,           0.0052176,                   0,             0.99905,                   1,               0.995,             0.94209,           0.0059179,           0.0032454,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.013041,           0.0052861,                   0,             0.99903,                   1,               0.995,             0.96568,           0.0072378,           0.0034561,                   0,            0.003862,            0.003862,            0.003862
                  64,              0.0126,           0.0055545,                   0,             0.99901,                   1,               0.995,             0.92887,           0.0068163,           0.0033536,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.012184,           0.0050403,                   0,             0.99905,                   1,               0.995,             0.95771,           0.0073324,           0.0035025,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.012186,           0.0048964,                   0,             0.99901,                   1,               0.995,             0.94479,           0.0055385,           0.0031797,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.011045,           0.0046201,                   0,             0.99904,                   1,               0.995,             0.94624,           0.0051313,           0.0030332,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.011887,           0.0051188,                   0,             0.99902,                   1,               0.995,             0.92587,           0.0064391,           0.0033169,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.010796,           0.0045184,                   0,             0.99903,                   1,               0.995,              0.9554,            0.006622,           0.0032945,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.011194,           0.0047715,                   0,             0.99904,                   1,               0.995,             0.93501,           0.0050059,           0.0030575,                   0,            0.003169,            0.003169,            0.003169
                  71,             0.01002,           0.0045936,                   0,             0.99907,                   1,               0.995,             0.95265,           0.0073971,           0.0034204,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.010819,           0.0044967,                   0,             0.99905,                   1,               0.995,              0.9413,           0.0053103,           0.0030193,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.010064,           0.0042434,                   0,             0.99908,                   1,               0.995,             0.92885,           0.0058057,           0.0030947,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.010155,            0.004738,                   0,             0.99906,                   1,               0.995,             0.93505,           0.0058903,           0.0032315,                   0,            0.002773,            0.002773,            0.002773
                  75,           0.0095858,           0.0044323,                   0,             0.99905,                   1,               0.995,             0.94976,           0.0053691,           0.0030098,                   0,            0.002674,            0.002674,            0.002674
                  76,           0.0093893,           0.0046558,                   0,             0.99906,                   1,               0.995,              0.9413,           0.0052147,           0.0029345,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.009439,           0.0041646,                   0,             0.99906,                   1,               0.995,             0.94144,           0.0051486,           0.0028615,                   0,            0.002476,            0.002476,            0.002476
                  78,           0.0095658,           0.0044761,                   0,             0.99906,                   1,               0.995,             0.94692,           0.0052619,           0.0029583,                   0,            0.002377,            0.002377,            0.002377
                  79,           0.0084957,           0.0042814,                   0,             0.99906,                   1,               0.995,             0.94037,           0.0063141,           0.0031366,                   0,            0.002278,            0.002278,            0.002278
                  80,           0.0095029,           0.0041552,                   0,             0.99907,                   1,               0.995,             0.94365,           0.0046316,           0.0028076,                   0,            0.002179,            0.002179,            0.002179
                  81,           0.0089782,           0.0042381,                   0,             0.99905,                   1,               0.995,             0.93902,           0.0052925,           0.0028772,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.008893,           0.0045497,                   0,             0.99904,                   1,               0.995,              0.9586,           0.0048568,           0.0028763,                   0,            0.001981,            0.001981,            0.001981
                  83,           0.0082593,           0.0041615,                   0,             0.99906,                   1,               0.995,              0.9415,           0.0047012,           0.0028248,                   0,            0.001882,            0.001882,            0.001882
                  84,           0.0087813,            0.004538,                   0,             0.99908,                   1,               0.995,             0.94479,           0.0049051,           0.0028434,                   0,            0.001783,            0.001783,            0.001783
